a	b	add	sub	mul	div
30f450b7	9d43b2d1	30f450b7	30f450b7	8ebac423	d31fcc75
3b38ad26	3c08cf10	3c36fa5a	bbb5478d	37c562b7	3eacc912
c3346902	cfbd33e5	cfbd33e5	4fbd33e5	53855619	32f41a72
73b27013	72adedcd	73ddeb86	7386f4a0	7f800000	40835178
3c44c78a	dbd6f65c	dbd6f65c	5bd6f65c	d8a53c2c	9fea588c
58c4c703	90ded460	58c4c703	58c4c703	aa2b47d3	ff800000
438222eb	b0016d9d	438222eb	438222eb	b40396a2	d300b34e
96e108dd	fa6f21fa	fa6f21fa	7a6f21fa	51d23524	00000000
abdd0520	abc3e4ed	ac507506	aa490198	1829208d	3f906ae3
68af48a5	aa1bacea	68af48a5	68af48a5	d3552ec2	fe101f57
51162f2b	b7506e31	51162f2b	51162f2b	c8f48df0	d93875df
dd3638d6	2b266fdd	dd3638d6	dd3638d6	c8ecf0f5	f18c23c0
cee2ebfa	15f21ce7	cee2ebfa	cee2ebfa	a5569cb1	f86ff003
f268024e	c29a6f1c	f268024e	f268024e	758bf615	6f404bf4
aafb1206	c69ee744	c69ee744	469ee744	321bd7f0	23ca3e12
7c53c1f7	d0cbb634	7c53c1f7	7c53c1f7	ff800000	eb050e3a
0efdb716	224d3a25	224d3a25	a24d3a25	00000000	2c1e3df1
f5198d89	c20b4107	f5198d89	f5198d89	77a70db5	728d24ae
cc1dc407	b8f369c0	cc1dc407	cc1dc407	4596023e	52a5ec7f
a21f365f	cab97195	cab97195	4ab97195	2d66a9dd	16dbc9d5
92796e1e	f50501b3	f50501b3	750501b3	480197dd	00000000
d29cac24	951cc3f4	d29cac24	d29cac24	283fe1a5	7cffd91d
fa5d350d	c54a7235	fa5d350d	fa5d350d	7f800000	748bdcae
7a9e217a	27e2e637	7a9e217a	7a9e217a	630c27c2	7f800000
94bc93b7	ac44c157	ac44c157	2c44c157	0190ef84	27f55bf7
431766ab	a8b8aed0	431766ab	431766ab	ac5a725b	d9d1ddb7
cd73c956	bcba901b	cd73c956	cd73c956	4ab1a983	502742c6
f53c89de	55d6f415	f53c89de	f53c89de	ff800000	dee08a81
67197d16	48a2127b	67197d16	67197d16	70425879	5df2711f
8336c184	323a629f	323a629f	b23a629f	80000004	907b03e0
b2072f2d	b23c112f	b2a1a02e	31538808	24c69f70	3f3803d8
09efd7ec	80dd64a4	09efd7b5	09efd823	80000000	c88aaacc
604787a2	d24132c6	604787a2	604787a2	f31694d4	cd8431df
76dbd5cb	96ba83df	76dbd5cb	76dbd5cb	ce202a93	ff800000
82dee96c	1b4bfe2a	1b4bfe2a	9b4bfe2a	80000000	a70bdf04
82762ec3	9cff1bed	9cff1bed	1cff1bed	00000000	24f70adb
aa1a8cb5	1b73ff37	aa1a8cb5	aa1a8cb5	86134da3	ce222709
1cd61bfc	f84dcdf3	f84dcdf3	784dcdf3	d5ac20a8	80000000
967071d8	81033613	967071d8	967071d8	00000000	54ea8f64
d9395355	a0f2b968	d9395355	d9395355	3aafb6ff	77c3763c
afcf76fd	c3bfdab1	c3bfdab1	43bfdab1	341b7b02	2b8a6a39
00457bde	d7040153	d7040153	57040153	978f50ea	80000000
1c3cb30d	c12f919e	c12f919e	412f919e	9e0169bc	9a8992af
618f0495	60adc882	61ba76b6	614724e9	7f800000	4052adfa
35ab1d36	446b8eb7	446b8eb7	c46b8eb7	3a9d7335	30b9f6c9
61126da6	5df7e0ee	61145d68	61107de4	7f800000	429739cf
17859183	5c801a7d	5c801a7d	dc801a7d	3485ad27	00000857
4478c37f	7428fe28	7428fe28	f428fe28	79243744	0fbc6bb6
e69d3edb	e2419187	e69d9fa4	e69cde12	7f800000	43cff63c
0dab3fcc	ddb65f64	ddb65f64	5db65f64	abf3fe55	80000000
c852982a	c46784f8	c8537faf	c851b0a5	4d3e74b0	4368dcc6
37404faa	7be564a5	7be564a5	fbe564a5	73ac52de	00000d6a
73d79ffb	da26375b	73d79ffb	73d79ffb	ff800000	d9260c78
51d07274	93b73ed5	51d07274	51d07274	a61534fa	fd919a91
5fb7b73e	5d96e99c	5fc125d8	5fae48a4	7dd89a08	419bd2a6
e6b9f303	4a42ddb7	e6b9f303	e6b9f303	f18d8b34	dbf44929
980cff43	a3eb4ca4	a3eb4ca5	23eb4ca3	00008199	339966c4
8c6ba033	5753db35	5753db35	d753db35	a442fecd	80000001
6ff9f767	dc4271ab	6ff9f767	6ff9f767	ff800000	d3248cb8
26ed5f67	133153c3	26ed5f67	26ed5f67	00000a47	532b57b4
7e1ae1c8	34da3b67	7e1ae1c8	7e1ae1c8	73840835	7f800000
88e7853f	cad7aaad	cad7aaad	4ad7aaad	14430b43	000225a3
0f4c05ed	46a3ff73	46a3ff73	c6a3ff73	1682b35b	081f3d5b
2a199860	0d0591e0	2a199860	2a199860	00000028	5c9330ba
f3f6456b	9b0a926d	f3f6456b	f3f6456b	4f854e48	7f800000
eb59f308	30122c15	eb59f308	eb59f308	dbf8e444	fabeda91
564142f6	d5b3a317	55cee2d5	568d8a41	ec879cf1	c009b546
34e6b214	8ef17b2a	34e6b214	34e6b214	84599ca2	e57490e8
79b4ce0b	401000d9	79b4ce0b	79b4ce0b	7a4b68ff	7920b634
f8b1bd1b	7e01efba	7e01d982	fe0205f2	ff800000	ba2f1702
fdf2de4b	ff238b81	ff41e74a	7f052fb8	7f800000	3e3e154d
498155e7	291802ee	498155e7	498155e7	331998f8	5fd9cfd9
35e281d6	ee4e93f3	ee4e93f3	6e4e93f3	e4b6c762	870c593c
b8b048af	3ba8d8a6	3ba61783	bbab99c9	b4e889c5	bc85a36c
44bb1192	9008314a	44bb1192	44bb1192	95470ab4	f42fd0d1
4dcd8389	caf2a9ea	4dc9b8e1	4dd14e31	d942cebf	c258cef4
56fae1e2	be48772d	56fae1e2	56fae1e2	d5c47544	d820311c
70780369	bb537252	70780369	70780369	ec4cd991	f49622c6
b920c023	d7713364	d7713364	57713364	51177526	212a9d17
c63e4573	a6b2189a	c63e4573	c63e4573	2d845e93	5f08c01f
ed51286f	6b0a88d5	ed487fe2	ed59d0fc	ff800000	c1c140c9
8451f945	4a0ad33c	4a0ad33c	ca0ad33c	8ee3bb42	80000306
fb188372	26ccf74d	fb188372	fb188372	e2743827	ff800000
1287545c	12ed5965	133a56e0	924c0a12	00000000	3f11f6b3
92be501e	d733324b	d733324b	5733324b	2a853768	000010fe
03a6e1ed	70dc2bb8	70dc2bb8	f0dc2bb8	350f86a8	00000000
31fd9bb0	cf17f2b9	cf17f2b9	4f17f2b9	c1968749	a255a33e
33c04a2c	4f9c687c	4f9c687c	cf9c687c	43eaf75c	239d5d4f
7c8fe17a	7202929f	7c8fe17e	7c8fe176	7f800000	4a0d0bbb
12a7809d	893a979e	12a78086	12a780b4	80000000	c8e5cf27
8ed20ff9	80b87a33	8ed20ff9	8ed20ff9	00000000	4d91c093
a6076b12	9aaff47f	a6076b13	a6076b11	013a270d	4ac505b5
299f728e	b04f771c	b04f7220	304f7c18	9a8137d1	b8c4bfb5
9e8915cc	fd6b42ce	fd6b42ce	7d6b42ce	5c7bf590	00000000
2b25e5c5	0468d7d3	2b25e5c5	2b25e5c5	00000000	66366584
6647aa48	a7063fde	6647aa48	6647aa48	cdd169e3	febe5ed9
7944ee94	d8e84e7b	7944ee94	7944ee94	ff800000	dfd90478
a5369f84	44a8f9b3	44a8f9b3	c4a8f9b3	aa71159f	a00a5697
0b923464	dbd6c2c4	dbd6c2c4	5bd6c2c4	a7f54e0e	80000000
eff0fd23	b7ed0e0e	eff0fd23	eff0fd23	685f2794	77821fc9
0e901de8	5cc8c975	5cc8c975	dcc8c975	2be2118d	00000000
636649a0	7a2b141d	7a2b141d	fa2b141d	7f800000	28ac4cc3
d461186d	af57e97b	d461186d	d461186d	443dd8cf	648571b8
8fc4c9b2	6057c93a	6057c93a	e057c93a	b0a5e013	80000000
8dfeeb3a	c716beab	c716beab	4716beab	15961bb1	065874bb
d4d58713	0291aa21	d4d58713	d4d58713	97f2fed2	ff800000
76797f36	c9c05a56	76797f36	76797f36	ff800000	ec2606b1
5a226bd2	5e6df241	5e6e94ad	de6d4fd5	7916f785	3b2ebe9b
19c436e7	82b3ed8f	19c436e7	19c436e7	80000000	d68b960e
f6d9eac6	407540fb	f6d9eac6	f6d9eac6	f7d0c500	f5e37728
8dc4ca01	e828ce5a	e828ce5a	6828ce5a	3681c330	00000000
92883c7a	1f08d05b	1f08d05b	9f08d05b	80000000	b2feeb4c
44f6d688	c13b4776	44f55ff9	44f84d17	c6b4939d	c328b4f1
12b962c8	6cc7a7cc	6cc7a7cc	ecc7a7cc	4010954d	00000000
bf108c71	c1fb42a9	c1ffc70d	41f6be45	418ddf56	3c934678
9d47106d	d37ad771	d37ad771	537ad771	31430d91	094b2867
d8300b91	3226f5c1	d8300b91	d8300b91	cae5a100	e586f716
f9222ac8	a69e9eb3	f9222ac8	f9222ac8	6048f5de	7f800000
e15a854b	e76d340f	e76d41b7	676d2667	7f800000	396bd63c
312a3cbb	0692bd29	312a3cbb	312a3cbb	00000062	6a147f5e
bf2b7b05	d990a1d1	d990a1d1	5990a1d1	5941c32e	2517c2d0
9cfe6717	2ed16e72	2ed16e72	aed16e72	8c501feb	ad9b7c48
4e84c8a5	4852aba9	4e84cf3a	4e84c210	575a8b42	45a15ac2
9bc9475d	5f57dc92	5f57dc92	df57dc92	bba9b85b	80003bad
7ef3d400	463dcf39	7ef3d400	7ef3d400	7f800000	78246d95
064bcdf2	07445a0e	07774d8a	87116692	00000000	3e84dbbd
acd773a8	f33dc743	f33dc743	733dc743	609fb816	00000123
75e9dfeb	13071642	75e9dfeb	75e9dfeb	4976d2d5	7f800000
d3f92f7e	4deb5e36	d3f920c8	d3f93e34	e2651a4d	c58783ad
4b28a92c	b93dd76d	4b28a92c	4b28a92c	c4fa25a7	d1637020
56ce1cef	2ce655c6	56ce1cef	56ce1cef	4439730e	6965143c
d8fd8ed8	09b4e6a8	d8fd8ed8	d8fd8ed8	a3332ce5	ff800000
eb7a4982	3d303f48	eb7a4982	eb7a4982	e92c5068	edb5c58f
f8458535	505c412e	f8458535	f8458535	ff800000	e765937f
c09875d5	65b50d72	65b50d72	e5b50d72	e6d7a6a3	9a579267
92d0dbb3	ee1fb7dd	ee1fb7dd	6e1fb7dd	41824e76	00000000
a9876e05	71a9ec6d	71a9ec6d	f1a9ec6d	dbb3c969	8000001a
0cba581a	b550a1d2	b550a1d2	3550a1d2	8297dd5f	96e4a6da
ec3f3063	3737b5b3	ec3f3063	ec3f3063	e409334a	f4853610
da260429	0d4cc6f6	da260429	da260429	a804cc57	ff800000
9934021c	f964a052	f964a052	7964a052	5320c29c	00000000
1355a2e6	cb16eeab	cb16eeab	4b16eeab	9efbe93e	87b52d4b
2db8047b	dd9663e2	dd9663e2	5d9663e2	cbd834d9	8f9c9ef2
a51f4e43	832d312a	a51f4e43	a51f4e43	00000000	616b7966
21293e1b	caddbe9f	caddbe9f	4addbe9f	ac9298a3	95c3632d
a4b74c81	5ba88fb4	5ba88fb4	dba88fb4	c0f16233	888b30f1
9ca8a87c	538e4499	538e4499	d38e4499	b0bb754d	8897be58
59785331	b2132a71	59785331	59785331	cc0ec0f0	e6d7fc26
31155ff6	1d629d2d	31155ff6	31155ff6	0f043a6d	5328beb5
348bc28f	df98f8fa	df98f8fa	5f98f8fa	d4a706e4	9469e384
960b2d50	b4ecdc4e	b4ecdc4e	34ecdc4e	0b80c58b	20966c54
a1bbf324	9e8eae8a	a1be2dde	a1b9b86a	00d18205	42a89c26
e1ae5d30	0b402c34	e1ae5d30	e1ae5d30	ad82e3ff	ff800000
b08b7f5f	6710b594	6710b594	e710b594	d81db52e	88f6c7b4
3f0fb408	0662f7f1	3f0fb408	3f0fb408	05fed03a	78221594
2cf4d340	c2f96b4a	c2f96b4a	42f96b4a	b06e8814	a97b48ee
a57ffe1f	6152a009	6152a009	e152a009	c7529e7d	839b920d
79e15964	9e17faa1	79e15964	79e15964	d885c859	ff800000
af7e8c39	1064865d	af7e8c39	af7e8c39	80719d3e	de8e9367
776dd115	e38152bb	776dd115	776dd115	ff800000	d36b622e
3ba647d2	09ce47e9	3ba647d2	3ba647d2	0605fc80	714e5bc8
2e1c16a9	49fe392d	49fe392d	c9fe392d	389b0158	239d2dea
a3b46491	c0b51353	c0b51353	40b51353	24ff3171	227f08ef
e4bd0ec9	aaa7340a	e4bd0ec9	e4bd0ec9	4ff6f627	7990bafa
bc8bf1e6	dc68129e	dc68129e	5c68129e	597dbacc	1f9a5fa3
e632e738	524e7d87	e632e738	e632e738	f9104dc8	d35dcc61
769b8ddb	04e97f3b	769b8ddb	769b8ddb	3c0de16c	7f800000
0102bee3	90c1d3ff	90c1d3ff	10c1d3ff	80000000	afacaef0
c6a212f6	6b2569d8	6b2569d8	eb2569d8	f2517276	9afad4f4
3610cf46	a417c462	3610cf46	3610cf46	9aabb2b1	d17443a2
bffd4e6b	13d49bee	bffd4e6b	bffd4e6b	94525f3b	eb988063
4e473c14	2b836a58	4e473c14	4e473c14	3a4c8d03	62420e83
dc1ae844	0843b2c9	dc1ae844	dc1ae844	a4ecd636	ff800000
51b4ebd9	3804ecdc	51b4ebd9	51b4ebd9	4a3be202	592e37b9
d2272c92	5fdcebca	5fdcebca	dfdcebca	f2904447	b1c1b806
6bdde6c9	8e821c83	6bdde6c9	6bdde6c9	bae18fd2	ff800000
32b65219	d4d6eb43	d4d6eb43	54d6eb43	c819102e	9d592bb0
d268f470	19ba7d42	d268f470	d268f470	aca9b395	f81fe474
96d6b872	62837c7d	62837c7d	e2837c7d	b9dc9199	80000000
77179ead	847eedeb	77179ead	77179ead	bc16fc59	ff800000
7342463f	01b8c467	7342463f	7342463f	358c3789	7f800000
7b96b44d	e9ae8fd6	7b96b44d	7b96b44d	ff800000	d15d0320
2e250d9c	0002275b	2e250d9c	2e250d9c	00000000	70194592
4980fe4a	878e4b4d	4980fe4a	4980fe4a	918f65fd	ff800000
85072f90	07708891	07681598	8778fb8a	80000000	bd0fe0dd
3a905d48	366fa208	3a90d519	3a8fe577	31872276	439a397c
02c6c8f3	eed2aa27	eed2aa27	6ed2aa27	b22394f7	80000000
a8f592a2	7644c268	7644c268	f644c268	dfbcbec1	80000000
2355a9b1	38116702	38116702	b8116702	1bf2b62c	2abc173d
866825db	f81f028f	f81f028f	781f028f	3f1031d5	00000000
2c728b68	5bebff41	5bebff41	dbebff41	48df97cf	10038d1c
04fc4798	26eec598	26eec598	a6eec598	00000000	1d873dc1
aef42b89	54c671d2	54c671d2	d4c671d2	c43d463b	999d7e60
307c6935	a1758d82	307c6935	307c6935	92721c36	ce839333
e48dba77	017f81e1	e48dba77	e48dba77	a68d74a4	ff800000
531bc6f5	05d038dc	531bc6f5	531bc6f5	197d6881	7f800000
8947f9c7	854fd6d8	8948c99e	894729f0	00000000	43765077
0cbe7c43	8407dcd8	0cbe7bff	0cbe7c87	80000000	c833762b
320540f0	0faa2f6c	320540f0	320540f0	02312b9d	61c87228
0ef9e308	8a0a4b3e	0ef99de2	0efa282e	80000000	c4674958
cc730977	8c77174c	cc730977	cc730977	196a9440	7f7bccc0
903c7827	76c44762	76c44762	f6c44762	c790808b	80000000
367861d7	160eb625	367861d7	367861d7	0d0a76ff	5fdec70e
74bcf807	c766608e	74bcf807	74bcf807	fcaa0e1c	ecd1fc78
00ae81b5	06443bd2	064451a2	86442602	00000000	39e3a7da
d1d40bfb	ad74a3bc	d1d40bfb	d1d40bfb	3fcaa30b	63dde4c9
7df28809	59e6748e	7df28809	7df28809	7f800000	6386b514
74ad0ab2	27437f71	74ad0ab2	74ad0ab2	5c84254a	7f800000
d53dc605	ab3a0b0f	d53dc605	d53dc605	4109ea12	69829106
2b63cafd	515f78d2	515f78d2	d15f78d2	3d46d954	19827997
48b31a69	e8b04484	e8b04484	68b04484	f1f6a42f	9f820f1f
d1fc5cf9	0c5ff3e1	d1fc5cf9	d1fc5cf9	9edcc567	ff800000
edf1a525	0def8bca	edf1a525	edf1a525	bc621d21	ff800000
08370c2f	3c226356	3c226356	bc226356	04e8397a	0b9048db
11db49c4	9a0f2877	9a0f2809	1a0f28e5	80000000	b74411b5
fc62de21	ec248a0b	fc62de21	fc62de21	7f800000	4fb07cb8
b54f1639	fe7f6887	fe7f6887	7e7f6887	744e9bb1	00000006
34a3c861	abe34553	34a3c828	34a3c89a	a1116708	c8387c87
b24d0a08	af7eaff4	b25104c8	b2490f48	224bfce1	424e1892
cb659d93	8fc7b677	cb659d93	cb659d93	1bb32126	7b132a51
6dd7ebbc	84641afb	6dd7ebbc	6dd7ebbc	b2c064b5	ff800000
11ded861	9fd97a92	9fd97a92	1fd97a92	80000000	b1832893
c51dfad7	35edff9e	c51dfad7	c51dfad7	bb92def7	cea9edd1
fe1c1567	83646cec	fe1c1567	fe1c1567	420b4579	7f800000
367b130e	e431e35c	e431e35c	6431e35c	db2e7729	91b4a955
028cb1e6	968866a8	968866a8	168866a8	80000000	ab84078a
0a4f2259	50617cf5	50617cf5	d0617cf5	1b36724b	000001d6
8ce9f0ec	07cbde32	8ce9bdf4	8cea23e4	80000000	c492e1b4
f6901485	51e13846	f6901485	f6901485	ff800000	e423c56d
d65c859d	b601fc37	d65c859d	d65c859d	4cdff12e	5fd9276b
f8224fcc	75f4d32d	f81aa933	f829f665	ff800000	c1a9b870
71eed21e	d652048c	71eed21e	71eed21e	ff800000	db118dfd
b14f2f10	4a1692f8	4a1692f8	ca1692f8	bbf3b90a	a6b01f70
252d78a0	59bc68c7	59bc68c7	d9bc68c7	3f7f572b	0aebb3f5
75082e0f	43ff4239	75082e0f	75082e0f	7987c91b	7088934e
464bf225	8c9b9030	464bf225	464bf225	9377dcf6	f927cf5f
3e3a23c8	e5658198	e5658198	65658198	e426e03c	984fa09d
a3d45c3e	173e3c33	a3d45c3e	a3d45c3e	80002774	cc0ee30f
19de6596	08b33fd5	19de6596	19de6596	00000000	509ecfa7
77b128a8	19396ded	77b128a8	77b128a8	51805274	7f800000
7543e99f	716a6d68	7544d40c	7542ff32	7f800000	4355f0e4
5df3d498	1b72ab8d	5df3d498	5df3d498	39e7225d	7f800000
e041313d	55e3bbdb	e0413136	e0413144	f6abdc6d	c9d92bd8
49c061b7	a2872e47	49c061b7	49c061b7	accb2c9d	e6b62995
fb524107	078e6f0a	fb524107	fb524107	c369f689	ff800000
e1919033	eeb9d91a	eeb9d91a	6eb9d91a	7f800000	3248824b
585b9295	ae2d3e97	585b9295	585b9295	c71497be	e9a23aa4
e6332524	e67eb352	e6d8ec3b	65971c5c	7f800000	3f340f22
05abda55	3ba66bed	3ba66bed	bba66bed	01df700d	09842d68
6c51896d	8d79e069	6c51896d	6c51896d	ba4c8659	ff800000
ce6a0aeb	954c0a12	ce6a0aeb	ce6a0aeb	243a89e8	7892d26d
b8d878af	7a47e89f	7a47e89f	fa47e89f	f3a90a84	800454d7
bbfc59f8	63b58d3f	63b58d3f	e3b58d3f	e032f6d8	97b1ea88
8bb3ffbd	55771a0b	55771a0b	d5771a0b	a1adbe0f	80000003
a3eb7094	acf90f86	acf90fc1	2cf90f4b	11650ec7	3671ffe7
a65e5dda	99378bf3	a65e5dda	a65e5dda	004fb753	4c9b1266
6b45ee79	8cf23551	6b45ee79	6b45ee79	b8bb44a7	ff800000
e6710931	c60ec25b	e6710931	e6710931	6d066a18	5fd81dc8
05258c03	f8842306	f8842306	78842306	be2ae5af	80000000
a5624455	e22e3881	e22e3881	622e3881	4819fc63	02a63d05
80f180c1	b6386583	b6386583	36386583	0000002b	0a27a40a
7e96b317	53fb2e97	7e96b317	7e96b317	7f800000	6a199717
ea29b861	0402e376	ea29b861	ea29b861	aead8cdc	ff800000
6aedcf55	e9d7363f	6ab801c5	6b11ce72	ff800000	c08d70c1
95d67112	629c5ebf	629c5ebf	e29c5ebf	b902fc44	80000000
a8797fa8	87990dfa	a8797fa8	a8797fa8	00000000	6050a80d
50d8cab8	975549de	50d8cab8	50d8cab8	a8b49f39	f9021a39
9edf16d6	dbabe34e	dbabe34e	5babe34e	3b15ca56	02a620ce
08b468ab	5dd76ce9	5dd76ce9	ddd76ce9	2717d0a8	00000000
76bf8f83	2acfc92f	76bf8f83	76bf8f83	621b7b96	7f800000
8a752637	34d6c5ea	34d6c5ea	b4d6c5ea	80336ade	95121a81
01d556a2	57dc7697	57dc7697	d7dc7697	1a37b947	00000000
1349a494	ff027076	ff027076	7f027076	d2cd7c50	80000000
25b7fecb	c0f8d87b	c0f8d87b	40f8d87b	a732da6c	a43d4903
5bbbd394	31d36526	5bbbd394	5bbbd394	4e1b1999	69637555
70082636	950e7f61	70082636	70082636	c59791e1	ff800000
a47bdd41	d51aad4d	d51aad4d	551aad4d	3a182d99	0ed06cf0
761190a3	5789d2a0	761190a3	761190a3	7f800000	5e0730c0
b094bb9e	a1d26e1d	b094bb9e	b094bb9e	12f483c2	4e34f11d
2d7700e5	183e42f0	2d7700e5	2d7700e5	06379340	54a62c76
50c22638	c63ea8b4	50c22632	50c2263e	d790984f	ca0257de
afc7d0cc	a7b33bbb	afc7d17f	afc7d019	180be59e	478eb2eb
9ebf00a9	8ed665e6	9ebf00a9	9ebf00a9	00000000	4f64109b
1b12696e	6ec9ea55	6ec9ea55	eec9ea55	4a66f599	00000000
6f9a4c42	0089d328	6f9a4c42	6f9a4c42	30a62429	7f800000
5a5a3c6e	5e107beb	5e115627	de0fa1af	78f65742	3bc15674
6021bfcb	0d2f413c	6021bfcb	6021bfcb	2ddd76a7	7f800000
8159751f	33206f84	33206f84	b3206f84	80000001	8dad7e60
5409dc37	5a505297	5a505b35	da5049f9	6ee05ecd	3929694e
4acb3400	457366b8	4acb526d	4acb1593	50c133e5	44d5b89f
aa1eb6a0	5d4b117d	5d4b117d	dd4b117d	c7fbcb51	8c481562
47721679	0680860f	47721679	47721679	0e731405	7f800000
ac3aec7e	1bfd6012	ac3aec7e	ac3aec7e	88b901de	cfbcdc33
d9d07493	c0a0aef8	d9d07493	d9d07493	5b02d755	58a60e12
90b32bff	cb408a60	cb408a60	4b408a60	1c86c1d8	04ee39a3
0b7bb983	9ae96237	9ae96237	1ae96237	80000000	b00a0f26
5823c05a	00d91280	5823c05a	5823c05a	198ad9e2	7f800000
533d8f74	fbb92ca0	fbb92ca0	7bb92ca0	ff800000	97030825
0c322417	6685047a	6685047a	e685047a	33391fbb	00000000
03e47a21	c314fa4f	c314fa4f	4314fa4f	8784f601	80622707
d90f61fa	20b03a26	d90f61fa	d90f61fa	ba4567db	f7d049b2
a9ac50d0	e22c34c0	e22c34c0	622c34c0	4c67d39b	070014dc
c8301c5c	4baec6b2	4bad6679	cbb026eb	d47077ee	bc00fa39
fc16f70c	6f72e4d7	fc16f70c	fc16f70c	ff800000	cc1f1c5e
6960bde7	80686368	6960bde7	6960bde7	aa3748d5	ff800000
d04223a8	99f85286	d04223a8	d04223a8	2abc5120	75c82446
7590a2c2	c3a95e5c	7590a2c2	7590a2c2	f9bf6184	f15a9dcf
0b30831c	74a449b6	74a449b6	f4a449b6	40628da2	00000000
13128c5e	05032af6	13128c5e	13128c5e	00000000	4d8f0251
b6e6cc30	163eb1ee	b6e6cc30	b6e6cc30	8dabebf5	e01aeb02
5a6400a7	c25ec5fb	5a6400a7	5a6400a7	dd4668e5	d783012b
f40df260	753c9cd9	75192041	f5601971	ff800000	be40a94e
1ea93f61	d54310e6	d54310e6	554310e6	b480f673	88de1dd3
64d56411	af73e772	64d56411	64d56411	d4cb4ee8	f4dff93b
c9da5410	497c62cc	c9384554	ca2c42bb	d3d73f02	bfdd746b
5e22fc3b	2eb7ed23	5e22fc3b	5e22fc3b	4d6a3290	6ee2da5c
5f01e669	31919d62	5f01e669	5f01e669	5113c6bb	6ce45f5c
4e5a2f9e	89afbe43	4e5a2f9e	4e5a2f9e	9895c8b5	ff800000
7b13487e	a9e16e66	7b13487e	7b13487e	e581b23b	ff800000
26cf9593	6ffe1895	6ffe1895	effe1895	574e0a57	00000007
9acbce70	af626010	af626010	2f626010	0ab438b9	2ae67a48
4a89278b	dcd65fd2	dcd65fd2	5cd65fd2	e7e5b4c9	ad23c942
b936234f	73415fe0	73415fe0	f3415fe0	ed0994d5	85711fd7
92621437	dd2cb2ad	dd2cb2ad	5d2cb2ad	30188360	00000001
ec46dd9b	3c3fe5da	ec46dd9b	ec46dd9b	e91511e4	ef84a5cd
a7635166	a461a0a1	a766d7e9	a75fcae3	0c48592c	4280f583
fb4cc255	9e213a3f	fb4cc255	fb4cc255	5a00f4ce	7f800000
5d3267f0	4e3caf09	5d3267f0	5d3267f0	6c037e50	4e720e36
9cde1046	e62bb633	e62bb633	662bb633	4394f2eb	00000005
88adaa66	ab633294	ab633294	2b633294	00000001	1cc3ae81
364c486c	5d6ab2c9	5d6ab2c9	dd6ab2c9	543b48dd	185ed2ef
78a85c34	85f273c1	78a85c34	78a85c34	bf1f734a	ff800000
8ccfead8	6b0511d6	6b0511d6	eb0511d6	b85826fd	80000000
5317d968	c186c960	5317d968	5317d968	d51fe67e	d1103419
46e49da2	4da0fd65	4da100f7	cda0f9d3	550fc4cf	38b5c4a3
4f3756a6	d38dd475	d38d78ca	538e3020	e34b25c2	bb257607
35892f2b	44fa95a9	44fa95a9	c4fa95a9	3b064843	300c2621
658431d9	30b923b2	658431d9	658431d9	56bf34e9	7436ca88
ec05de81	604616b4	ec05de80	ec05de82	ff800000	cb2d0180
8aa8a986	e1895fde	e1895fde	61895fde	2cb503c4	00000000
c8a68114	87954eb2	c8a68114	c8a68114	10c2389f	7f800000
38559dfc	2ea3eb0a	38559e10	38559de8	2788c7b8	4926cf10
31d4d74f	c5c7918c	c5c7918c	45c7918c	b825ec61	ab888345
679badeb	af551d7a	679badeb	679badeb	d78199a1	f7bb01aa
4d5a8b3b	178552fa	4d5a8b3b	4d5a8b3b	2563a257	7551d10d
2dc54bd5	3ee9196a	3ee9196a	bee9196a	2d33a59b	2e58adf3
02e94ff5	608c3d57	608c3d57	e08c3d57	23ff9f43	00000000
fcd1fbd4	3ecc0bde	fcd1fbd4	fcd1fbd4	fc275e69	fd83b97c
a223759d	7d68b1df	7d68b1df	fd68b1df	e0149429	80000000
82d0a58c	046e67b8	04545306	84843e35	80000000	bde00b97
0a818020	b414fae0	b414fae0	3414fae0	8012d73f	95de8702
d382e3a5	aa463a88	d382e3a5	d382e3a5	3e4ab3fd	68a9090c
a444aad0	d4e998c2	d4e998c2	54e998c2	39b374d2	0ed7875e
d623cf20	c5399e5d	d623cf20	d623cf20	5bed8c07	5061ebc1
03e205e6	bd000b80	bd000b80	3d000b80	81621a35	8661f199
2008918f	f2c322b2	f2c322b2	72c322b2	d35032c4	80000000
b8317c52	74d2d2a0	74d2d2a0	f4d2d2a0	ed922a02	82d784e1
81c5ba2f	2c0ab0f2	2c0ab0f2	ac0ab0f2	80000000	95367c37
01b8dfc7	1a452541	1a452541	9a452541	00000000	26f010b0
fe35a257	156bcd2a	fe35a257	fe35a257	d4274d97	ff800000
3dc47c29	e3552593	e3552593	63552593	e1a39825	99ebfd06
affa977c	c6dca87f	c6dca87f	46dca87f	3757ff1e	28915d2b
cd9ff639	b15b5b5d	cd9ff639	cd9ff639	3f8910b9	5bbaaedf
4e3d6b8d	12185319	4e3d6b8d	4e3d6b8d	20e16ab0	7b9f2bf9
e224b636	c5fa2d14	e224b636	e224b636	68a0f6f2	5ba88bcf
72cd0a1a	95baec6d	72cd0a1a	72cd0a1a	c915b6b4	ff800000
e60b6d59	4a60457b	e60b6d59	e60b6d59	f0f44b0b	db1f2708
cbc5bb38	80002de8	cbc5bb38	cbc5bb38	080dd46a	7f800000
39012808	c2331d97	c2331d77	42331db7	bbb4bbd7	b6389897
